sig_id,group
id_000644bb2,0
id_000779bfc,1
id_000a6266a,2
id_0015fd391,1
id_001626bd3,3
id_001762a82,0
id_001bd861f,4
id_0020d0484,5
id_00224bf20,1
id_0023f063e,6
id_002452c7e,7
id_0024bcd70,8
id_0025c5949,9
id_00289dc6e,10
id_002d31e2c,11
id_002e08ff8,12
id_002fb9c19,13
id_0031dd989,14
id_003603254,15
id_0036b0342,10
id_0039a2ff9,16
id_003b43239,17
id_003d4b6f0,18
id_003fdd734,19
id_00505b3c8,20
id_0054388ec,1
id_00548fd5c,21
id_00578737a,16
id_005c3cb48,10
id_005c3ee1a,14
id_0062bfc63,1
id_0063cd461,22
id_006e27d96,18
id_006f253ab,1
id_006f6dbd6,23
id_0070c63e7,1
id_00762e877,1
id_0077e36b9,24
id_0079af0fb,1
id_0079d45d3,1
id_007bfbb91,1
id_0080f169f,25
id_00816e002,26
id_00849b0f8,27
id_00872d938,1
id_0089590d4,28
id_008a18cef,29
id_008a986b7,1
id_008b48693,30
id_008c40337,31
id_008dfb160,32
id_008f35497,7
id_008f5b224,33
id_0090da7e9,1
id_009140ea3,34
id_0092c905e,20
id_009379beb,30
id_0093bf6b8,35
id_0094ce209,36
id_00997a3a8,37
id_009afed7f,38
id_009bb5487,39
id_009d60bd9,40
id_009d8340f,1
id_009da9c07,41
id_00a4acf2d,42
id_00a5912c8,43
id_00a6e782e,44
id_00ac7c837,45
id_00b363e33,46
id_00be9e759,47
id_00bee1bc5,48
id_00c240861,49
id_00c3672d5,50
id_00c99b509,51
id_00ceee87f,52
id_00cf039a7,13
id_00cf304ae,53
id_00cfd9aea,25
id_00d41e2da,3
id_00d421ae2,54
id_00d575cfb,1
id_00ea9ff8b,55
id_00eae2e04,56
id_00eb9953e,57
id_00f08ca12,58
id_00f11ed38,5
id_00f3fd495,25
id_00f532aa2,59
id_00f62af34,60
id_00f92f0b2,61
id_00f982099,37
id_00fb2c241,14
id_00fe43a96,62
id_00ff52a2c,63
id_010385a91,10
id_010629f4f,1
id_0106bfcfd,1
id_010aa48d5,1
id_010b6dcd3,34
id_010d00d5f,1
id_0112a0b2a,20
id_0114aaed0,64
id_0118c5902,65
id_011c284f7,66
id_0124188e4,1
id_01286cb48,67
id_012a2d925,68
id_0131c7fbd,69
id_01321cc2b,70
id_01358cd02,71
id_013caefbf,69
id_013cc7eca,72
id_013d94d49,47
id_014092333,73
id_01424b2ca,74
id_014466728,1
id_0144e88e8,1
id_014e9ee08,1
id_01534c4ee,13
id_0157eefb3,53
id_01587ff16,1
id_0160300d7,75
id_0162da5e3,76
id_016364d11,16
id_0165cb330,53
id_016f18b33,77
id_016f3905a,78
id_0175478e7,79
id_017652e9a,80
id_017c7a597,81
id_017e29d4d,53
id_017f108a9,82
id_018492dbc,1
id_01856bbd5,83
id_01882cf6e,84
id_018e83eec,1
id_018eabd67,30
id_018fc6bfa,1
id_0192489a1,85
id_019351a82,86
id_01952a294,1
id_01977bb32,49
id_019a1ab73,1
id_019c2d7db,38
id_01a39024a,87
id_01a4f84b2,26
id_01ac1b14a,51
id_01b05de6c,1
id_01b1c6ab8,88
id_01b2f93ae,89
id_01b3f1a27,53
id_01b44b61f,47
id_01b5073a7,90
id_01b5f3aea,91
id_01b6623ce,54
id_01b6efc7f,1
id_01bbbbcaa,92
id_01befe536,56
id_01c5c9827,93
id_01c5e202c,1
id_01c65d875,1
id_01c720273,94
id_01cb69424,1
id_01d1797b9,95
id_01d1e527e,96
id_01d50787a,1
id_01d6bfb4b,26
id_01d945f63,53
id_01df54942,1
id_01e740d5f,1
id_01e746d96,38
id_01e7ece50,5
id_01e84e099,97
id_01f054954,98
id_01f1c58a2,1
id_01f2bd826,99
id_01f3ec600,28
id_01f476574,100
id_01fa77927,101
id_01fc89a5a,44
id_0202d08e5,102
id_0203a4cf8,103
id_02047dd63,1
id_02058f39b,1
id_02088f9bb,104
id_020ba48d9,1
id_020c2527f,105
id_020e66e33,106
id_0210cba6a,54
id_021136b7d,54
id_02113de68,107
id_02137cac4,108
id_021516fa7,109
id_021559549,110
id_0218bcb2f,38
id_021d658ac,1
id_021dc1d49,105
id_021fd592f,1
id_02210c40e,5
id_02221530e,16
id_022558d3e,1
id_0227c6599,82
id_02291b0ea,1
id_022a1f85a,111
id_022ab81bd,56
id_022df136b,112
id_023316930,54
id_02331a1f5,28
id_0236e3425,13
id_02371db3b,113
id_023973212,114
id_0239a6604,115
id_023bd0a50,1
id_023d26b33,28
id_0241f1f99,3
id_024629df9,1
id_02485b4ba,116
id_024a52260,13
id_024e15575,64
id_024f6faa6,117
id_025195b8c,118
id_025280178,119
id_0253eabda,120
id_02547851c,121
id_02567e372,122
id_0256f3535,85
id_02573df9e,123
id_025764b09,54
id_0259d5047,124
id_0263807a7,125
id_026459674,1
id_026a80642,126
id_026ccd84a,1
id_026ecf01e,127
id_027496360,128
id_02758a23e,30
id_0275dcc10,1
id_0276dba27,112
id_0279a7232,129
id_0279e8025,40
id_027ddd814,3
id_028115571,130
id_0285c7eb7,16
id_028638ca1,1
id_028aa6774,131
